ciudad,redaccion,fecha,temperatura,texto_madrugada,texto_mañana,texto_tarde,texto_noche,icono_madrugada,icono_mañana,icono_tarde,icono_noche
Putre,Información redactada el día viernes 23 a las 05:19 hrs.,sábado 24,5/17,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Putre,Información redactada el día viernes 23 a las 05:19 hrs.,domingo 25,6/17,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Putre,Información redactada el día viernes 23 a las 05:19 hrs.,lunes 26,6/16,Nubosidad parcial,Nubosidad parcial,Nublado,Nublado,parcialaltanoche.png,parcialalta.png,parcial.png,parcialnoche.png
Putre,Información redactada el día viernes 23 a las 05:19 hrs.,martes 27,4/16,Nubosidad parcial,Despejado,Nublado,Nublado,parcialaltanoche.png,despejado.png,parcial.png,parcialnoche.png
Colchane,Información redactada el día viernes 23 a las 05:20 hrs.,viernes 23,/22,,Despejado,Nubosidad parcial,Despejado,,despejado.png,parcialalta.png,despejadonoche.png
Colchane,Información redactada el día viernes 23 a las 05:20 hrs.,sábado 24,5/21,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Colchane,Información redactada el día viernes 23 a las 05:20 hrs.,domingo 25,2/23,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Colchane,Información redactada el día viernes 23 a las 05:20 hrs.,lunes 26,4/21,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Colchane,Información redactada el día viernes 23 a las 05:20 hrs.,martes 27,4/20,Nubosidad parcial,Despejado,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Iquique,Información redactada el día viernes 23 a las 05:22 hrs.,viernes 23,/24,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día viernes 23 a las 05:22 hrs.,sábado 24,18/24,Despejado variando a cubierto,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día viernes 23 a las 05:22 hrs.,domingo 25,16/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día viernes 23 a las 05:22 hrs.,lunes 26,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día viernes 23 a las 05:22 hrs.,martes 27,18/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día viernes 23 a las 05:19 hrs.,viernes 23,/34,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día viernes 23 a las 05:19 hrs.,sábado 24,10/34,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día viernes 23 a las 05:19 hrs.,domingo 25,9/33,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día viernes 23 a las 05:19 hrs.,lunes 26,10/34,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día viernes 23 a las 05:19 hrs.,martes 27,10/35,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Ollagüe,Información redactada el día viernes 23 a las 05:19 hrs.,viernes 23,/25,,Despejado,Nubosidad parcial,Despejado,,despejado.png,parcialalta.png,despejadonoche.png
Ollagüe,Información redactada el día viernes 23 a las 05:19 hrs.,sábado 24,-3/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Ollagüe,Información redactada el día viernes 23 a las 05:19 hrs.,domingo 25,-5/24,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Ollagüe,Información redactada el día viernes 23 a las 05:19 hrs.,lunes 26,-6/24,Nubosidad parcial,Nubosidad parcial,Despejado,Despejado,parcialaltanoche.png,parcialalta.png,despejado.png,despejadonoche.png
Ollagüe,Información redactada el día viernes 23 a las 05:19 hrs.,martes 27,-4/23,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Tocopilla,Información redactada el día viernes 23 a las 05:22 hrs.,viernes 23,/24,,Cubierto,Despejado,Despejado,,cubierto.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día viernes 23 a las 05:22 hrs.,sábado 24,19/24,Cubierto,Nublado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día viernes 23 a las 05:22 hrs.,domingo 25,17/24,Despejado variando a cubierto,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día viernes 23 a las 05:22 hrs.,lunes 26,18/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día viernes 23 a las 05:22 hrs.,martes 27,19/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Calama,Información redactada el día viernes 23 a las 05:19 hrs.,viernes 23,/26,,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día viernes 23 a las 05:19 hrs.,sábado 24,6/26,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día viernes 23 a las 05:19 hrs.,domingo 25,5/25,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día viernes 23 a las 05:19 hrs.,lunes 26,6/24,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día viernes 23 a las 05:19 hrs.,martes 27,5/25,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
San Pedro,Información redactada el día viernes 23 a las 05:20 hrs.,viernes 23,/32,,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día viernes 23 a las 05:20 hrs.,sábado 24,6/31,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día viernes 23 a las 05:20 hrs.,domingo 25,6/31,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día viernes 23 a las 05:20 hrs.,lunes 26,6/30,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día viernes 23 a las 05:20 hrs.,martes 27,5/30,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día viernes 23 a las 05:22 hrs.,viernes 23,/29,,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,parcial.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día viernes 23 a las 05:22 hrs.,sábado 24,18/28,Cubierto,Cubierto,Despejado con viento entre 25 y 40 km/h,Despejado,cubierto.png,cubierto.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día viernes 23 a las 05:22 hrs.,domingo 25,18/27,Despejado variando a nublado,Nubosidad parcial variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcialalta.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día viernes 23 a las 05:22 hrs.,lunes 26,17/28,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día viernes 23 a las 05:22 hrs.,martes 27,17/27,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Antofagasta,Información redactada el día viernes 23 a las 05:22 hrs.,viernes 23,/23,,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,parcial.png,viento2540.png,despejadonoche.png
Antofagasta,Información redactada el día viernes 23 a las 05:22 hrs.,sábado 24,18/23,Cubierto,Nublado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Antofagasta,Información redactada el día viernes 23 a las 05:22 hrs.,domingo 25,18/23,Despejado variando a nublado,Nublado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Antofagasta,Información redactada el día viernes 23 a las 05:22 hrs.,lunes 26,17/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Antofagasta,Información redactada el día viernes 23 a las 05:22 hrs.,martes 27,17/23,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día viernes 23 a las 05:22 hrs.,viernes 23,/24,,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,parcial.png,viento2540.png,despejadonoche.png
Taltal,Información redactada el día viernes 23 a las 05:22 hrs.,sábado 24,18/24,Cubierto,Nublado variando a despejado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día viernes 23 a las 05:22 hrs.,domingo 25,18/24,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día viernes 23 a las 05:22 hrs.,lunes 26,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día viernes 23 a las 05:22 hrs.,martes 27,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
El Salvador,Información redactada el día viernes 23 a las 05:20 hrs.,viernes 23,/27,,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,despejado.png,viento2540.png,despejadonoche.png
El Salvador,Información redactada el día viernes 23 a las 05:20 hrs.,sábado 24,8/27,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
El Salvador,Información redactada el día viernes 23 a las 05:20 hrs.,domingo 25,7/25,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
El Salvador,Información redactada el día viernes 23 a las 05:20 hrs.,lunes 26,8/24,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
El Salvador,Información redactada el día viernes 23 a las 05:20 hrs.,martes 27,6/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Chañaral,Información redactada el día viernes 23 a las 05:23 hrs.,viernes 23,/19,,Cubierto,Nublado,Cubierto,,cubierto.png,parcial.png,cubierto.png
Chañaral,Información redactada el día viernes 23 a las 05:23 hrs.,sábado 24,15/19,Cubierto,Cubierto,Nublado variando a despejado,Despejado,cubierto.png,cubierto.png,parcial.png,despejadonoche.png
Chañaral,Información redactada el día viernes 23 a las 05:23 hrs.,domingo 25,15/20,Despejado variando a cubierto,Cubierto,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Chañaral,Información redactada el día viernes 23 a las 05:23 hrs.,lunes 26,15/20,Despejado variando a cubierto,Cubierto variando a despejado,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Chañaral,Información redactada el día viernes 23 a las 05:23 hrs.,martes 27,15/21,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Caldera,Información redactada el día viernes 23 a las 05:27 hrs.,viernes 23,/21,,Cubierto,Nublado,Cubierto,,cubierto.png,parcial.png,cubierto.png
Caldera,Información redactada el día viernes 23 a las 05:27 hrs.,sábado 24,14/21,Cubierto,Cubierto,Nublado variando a despejado,Despejado,cubierto.png,cubierto.png,parcial.png,despejadonoche.png
Caldera,Información redactada el día viernes 23 a las 05:27 hrs.,domingo 25,14/21,Despejado variando a cubierto,Cubierto,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Caldera,Información redactada el día viernes 23 a las 05:27 hrs.,lunes 26,14/23,Despejado variando a cubierto,Cubierto variando a despejado,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Caldera,Información redactada el día viernes 23 a las 05:27 hrs.,martes 27,14/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día viernes 23 a las 05:32 hrs.,viernes 23,/26,,Nublado variando a despejado,Despejado,Despejado,,parcial.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día viernes 23 a las 05:32 hrs.,sábado 24,15/25,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día viernes 23 a las 05:32 hrs.,domingo 25,16/26,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día viernes 23 a las 05:32 hrs.,lunes 26,15/26,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día viernes 23 a las 05:32 hrs.,martes 27,14/28,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Huasco,Información redactada el día viernes 23 a las 05:34 hrs.,viernes 23,/19,,Cubierto,Nublado variando a despejado con viento entre 25 y 40 km/h,Despejado,,cubierto.png,viento2540.png,despejadonoche.png
Huasco,Información redactada el día viernes 23 a las 05:34 hrs.,sábado 24,14/19,Despejado variando a cubierto,Cubierto,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Huasco,Información redactada el día viernes 23 a las 05:34 hrs.,domingo 25,14/20,Despejado variando a nublado,Nublado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Huasco,Información redactada el día viernes 23 a las 05:34 hrs.,lunes 26,14/20,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Huasco,Información redactada el día viernes 23 a las 05:34 hrs.,martes 27,14/21,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Freirina,Información redactada el día viernes 23 a las 05:34 hrs.,viernes 23,/23,,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,parcial.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día viernes 23 a las 05:34 hrs.,sábado 24,12/23,Despejado variando a nublado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcial.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día viernes 23 a las 05:34 hrs.,domingo 25,10/24,Despejado variando a nublado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcial.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día viernes 23 a las 05:34 hrs.,lunes 26,10/24,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día viernes 23 a las 05:34 hrs.,martes 27,10/24,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Vallenar,Información redactada el día viernes 23 a las 05:34 hrs.,viernes 23,/24,,Nublado variando a despejado,Despejado,Despejado,,parcial.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día viernes 23 a las 05:34 hrs.,sábado 24,12/24,Despejado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día viernes 23 a las 05:34 hrs.,domingo 25,11/25,Despejado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día viernes 23 a las 05:34 hrs.,lunes 26,11/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día viernes 23 a las 05:34 hrs.,martes 27,11/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día viernes 23 a las 05:16 hrs.,viernes 23,/20,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día viernes 23 a las 05:16 hrs.,sábado 24,11/20,Despejado,Nubosidad parcial,Despejado,Despejado variando a nublado,despejadonoche.png,parcialalta.png,despejado.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día viernes 23 a las 05:16 hrs.,domingo 25,11/19,Cubierto,Cubierto,Nubosidad parcial variando a despejado,Despejado variando a cubierto,cubierto.png,cubierto.png,parcialalta.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día viernes 23 a las 05:16 hrs.,lunes 26,11/19,Cubierto,Cubierto,Nubosidad parcial,Nubosidad parcial,cubierto.png,cubierto.png,parcialalta.png,parcialaltanoche.png
La Serena/Coquimbo,Información redactada el día viernes 23 a las 05:16 hrs.,martes 27,12/20,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Vicuña,Información redactada el día viernes 23 a las 05:16 hrs.,viernes 23,/31,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Vicuña,Información redactada el día viernes 23 a las 05:16 hrs.,sábado 24,13/31,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Vicuña,Información redactada el día viernes 23 a las 05:16 hrs.,domingo 25,12/31,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Vicuña,Información redactada el día viernes 23 a las 05:16 hrs.,lunes 26,11/30,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Vicuña,Información redactada el día viernes 23 a las 05:16 hrs.,martes 27,12/28,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Ovalle,Información redactada el día viernes 23 a las 05:16 hrs.,viernes 23,/31,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Ovalle,Información redactada el día viernes 23 a las 05:16 hrs.,sábado 24,13/29,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Ovalle,Información redactada el día viernes 23 a las 05:16 hrs.,domingo 25,12/28,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Ovalle,Información redactada el día viernes 23 a las 05:16 hrs.,lunes 26,11/26,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Ovalle,Información redactada el día viernes 23 a las 05:16 hrs.,martes 27,12/25,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Combarbalá,Información redactada el día viernes 23 a las 05:16 hrs.,viernes 23,/31,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Combarbalá,Información redactada el día viernes 23 a las 05:16 hrs.,sábado 24,13/31,Despejado,Despejado,Nubosidad parcial,Despejado,despejadonoche.png,despejado.png,parcialalta.png,despejadonoche.png
Combarbalá,Información redactada el día viernes 23 a las 05:16 hrs.,domingo 25,12/31,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Combarbalá,Información redactada el día viernes 23 a las 05:16 hrs.,lunes 26,11/30,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Combarbalá,Información redactada el día viernes 23 a las 05:16 hrs.,martes 27,12/28,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Illapel,Información redactada el día viernes 23 a las 05:17 hrs.,viernes 23,/28,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Illapel,Información redactada el día viernes 23 a las 05:17 hrs.,sábado 24,11/29,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Illapel,Información redactada el día viernes 23 a las 05:17 hrs.,domingo 25,12/28,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Illapel,Información redactada el día viernes 23 a las 05:17 hrs.,lunes 26,11/26,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Illapel,Información redactada el día viernes 23 a las 05:17 hrs.,martes 27,12/25,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Los Vilos,Información redactada el día viernes 23 a las 05:16 hrs.,viernes 23,/20,,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,parcial.png,viento2540.png,despejadonoche.png
Los Vilos,Información redactada el día viernes 23 a las 05:16 hrs.,sábado 24,11/20,Despejado,Nubosidad parcial,Despejado,Despejado variando a nublado,despejadonoche.png,parcialalta.png,despejado.png,despejadonoche.png
Los Vilos,Información redactada el día viernes 23 a las 05:16 hrs.,domingo 25,11/19,Cubierto,Cubierto,Nubosidad parcial variando a despejado,Despejado variando a cubierto,cubierto.png,cubierto.png,parcialalta.png,despejadonoche.png
Los Vilos,Información redactada el día viernes 23 a las 05:16 hrs.,lunes 26,11/19,Cubierto,Cubierto,Nubosidad parcial,Nubosidad parcial,cubierto.png,cubierto.png,parcialalta.png,parcialaltanoche.png
Los Vilos,Información redactada el día viernes 23 a las 05:16 hrs.,martes 27,12/20,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
La Ligua,Información redactada el día viernes 23 a las 06:01 hrs.,viernes 23,/29,,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,parcial.png,viento2540.png,despejadonoche.png
La Ligua,Información redactada el día viernes 23 a las 06:01 hrs.,sábado 24,11/31,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
La Ligua,Información redactada el día viernes 23 a las 06:01 hrs.,domingo 25,13/29,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
La Ligua,Información redactada el día viernes 23 a las 06:01 hrs.,lunes 26,12/27,Nubosidad parcial,Nubosidad parcial,"Nubosidad parcial, ocasionalmente nublado","Nubosidad parcial, ocasionalmente nublado",parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
La Ligua,Información redactada el día viernes 23 a las 06:01 hrs.,martes 27,12/26,Despejado,Despejado,"Nubosidad parcial, ocasionalmente nublado","Nubosidad parcial, ocasionalmente nublado",despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Papudo/Zapallar,Información redactada el día viernes 23 a las 06:02 hrs.,viernes 23,/20,,"Nubosidad parcial, ocasionalmente nublado variando a despejado",Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 25 y 40 km/h,,parcialalta.png,viento2540.png,viento2540.png
Papudo/Zapallar,Información redactada el día viernes 23 a las 06:02 hrs.,sábado 24,11/19,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Papudo/Zapallar,Información redactada el día viernes 23 a las 06:02 hrs.,domingo 25,12/18,Despejado,Nubosidad parcial,Despejado con viento entre 25 y 40 km/h,Nubosidad parcial,despejadonoche.png,parcialalta.png,viento2540.png,parcialaltanoche.png
