ciudad,redaccion,fecha,temperatura,texto_madrugada,texto_mañana,texto_tarde,texto_noche,icono_madrugada,icono_mañana,icono_tarde,icono_noche
Ollagüe,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/24,,Despejado,Nubosidad parcial,Nubosidad parcial,,despejado.png,parcialalta.png,parcialaltanoche.png
Ollagüe,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,-1/26,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Ollagüe,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,-2/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Ollagüe,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,-5/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Ollagüe,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,-6/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/24,,Cubierto variando a despejado,Despejado,Despejado,,cubierto.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,19/24,Cubierto,Cubierto variando a despejado,Despejado,Despejado variando a nublado,cubierto.png,cubierto.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,19/24,Cubierto,Nublado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Calama,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/26,,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,5/25,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,6/25,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,4/25,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,4/25,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
San Pedro,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/31,,Despejado,Nubosidad parcial con viento entre 25 y 40 km/h,Despejado,,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,6/31,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,6/30,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,5/31,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,5/31,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/28,,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,parcial.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,17/28,Despejado variando a nublado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcial.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,18/27,Cubierto,Cubierto,Despejado con viento entre 25 y 40 km/h,Despejado,cubierto.png,cubierto.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,17/27,Despejado variando a nublado,Nubosidad parcial variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcialalta.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,16/27,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Antofagasta,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/22,,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado variando a nublado,,parcial.png,viento2540.png,despejadonoche.png
Antofagasta,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,18/24,Cubierto,Nublado variando a despejado,Despejado,Despejado variando a nublado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Antofagasta,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,18/24,Cubierto,Nublado variando a despejado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Antofagasta,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,16/23,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Antofagasta,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,17/23,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/23,,Cubierto variando a despejado,Despejado,Despejado,,cubierto.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,17/22,Cubierto,Cubierto,Despejado,Nublado,cubierto.png,cubierto.png,despejado.png,parcialnoche.png
Taltal,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,18/22,Cubierto,Cubierto,Despejado,Nublado,cubierto.png,cubierto.png,despejado.png,parcialnoche.png
Taltal,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,18/23,Nublado,Nubosidad parcial variando a despejado,Despejado,Despejado,parcialnoche.png,parcialalta.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
El Salvador,Información redactada el día jueves 22 a las 04:47 hrs.,jueves 22,/29,,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,despejado.png,viento2540.png,despejadonoche.png
El Salvador,Información redactada el día jueves 22 a las 04:47 hrs.,viernes 23,8/28,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
El Salvador,Información redactada el día jueves 22 a las 04:47 hrs.,sábado 24,8/27,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,viento2540.png,viento2540.png,despejadonoche.png
El Salvador,Información redactada el día jueves 22 a las 04:47 hrs.,domingo 25,8/27,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,viento2540.png,viento2540.png,despejadonoche.png
El Salvador,Información redactada el día jueves 22 a las 04:47 hrs.,lunes 26,8/28,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Chañaral,Información redactada el día jueves 22 a las 04:48 hrs.,jueves 22,/20,,Cubierto,Nublado variando a despejado,Despejado variando a nublado,,cubierto.png,parcial.png,despejadonoche.png
Chañaral,Información redactada el día jueves 22 a las 04:48 hrs.,viernes 23,17/19,Cubierto,Cubierto,Nublado,Cubierto,cubierto.png,cubierto.png,parcial.png,cubierto.png
Chañaral,Información redactada el día jueves 22 a las 04:48 hrs.,sábado 24,17/19,Cubierto,Cubierto,Nublado,Cubierto,cubierto.png,cubierto.png,parcial.png,cubierto.png
Chañaral,Información redactada el día jueves 22 a las 04:48 hrs.,domingo 25,16/20,Cubierto,Nublado variando a despejado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Chañaral,Información redactada el día jueves 22 a las 04:48 hrs.,lunes 26,15/20,Despejado variando a cubierto,Cubierto variando a despejado,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Caldera,Información redactada el día jueves 22 a las 04:48 hrs.,jueves 22,/22,,Cubierto,Nublado variando a despejado,Despejado,,cubierto.png,parcial.png,despejadonoche.png
Caldera,Información redactada el día jueves 22 a las 04:48 hrs.,viernes 23,15/20,Cubierto,Cubierto,Nublado,Cubierto,cubierto.png,cubierto.png,parcial.png,cubierto.png
Caldera,Información redactada el día jueves 22 a las 04:48 hrs.,sábado 24,15/19,Cubierto,Cubierto,Nublado,Cubierto,cubierto.png,cubierto.png,parcial.png,cubierto.png
Caldera,Información redactada el día jueves 22 a las 04:48 hrs.,domingo 25,14/20,Cubierto,Nublado variando a despejado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Caldera,Información redactada el día jueves 22 a las 04:48 hrs.,lunes 26,13/22,Despejado variando a cubierto,Cubierto variando a despejado,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día jueves 22 a las 04:48 hrs.,jueves 22,/29,,Nublado variando a despejado,Despejado,Despejado,,parcial.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día jueves 22 a las 04:48 hrs.,viernes 23,11/27,Despejado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día jueves 22 a las 04:48 hrs.,sábado 24,15/25,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día jueves 22 a las 04:48 hrs.,domingo 25,14/27,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día jueves 22 a las 04:48 hrs.,lunes 26,14/28,Despejado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Huasco,Información redactada el día jueves 22 a las 04:48 hrs.,jueves 22,/20,,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,parcial.png,viento2540.png,despejadonoche.png
Huasco,Información redactada el día jueves 22 a las 04:48 hrs.,viernes 23,16/19,Cubierto,Cubierto,Nublado variando a despejado con viento entre 25 y 40 km/h,Despejado,cubierto.png,cubierto.png,viento2540.png,despejadonoche.png
Huasco,Información redactada el día jueves 22 a las 04:48 hrs.,sábado 24,16/19,Cubierto,Cubierto,Nublado variando a despejado,Despejado variando a cubierto,cubierto.png,cubierto.png,parcial.png,despejadonoche.png
Huasco,Información redactada el día jueves 22 a las 04:48 hrs.,domingo 25,15/20,Cubierto,Cubierto,Despejado,Despejado,cubierto.png,cubierto.png,despejado.png,despejadonoche.png
Huasco,Información redactada el día jueves 22 a las 04:48 hrs.,lunes 26,14/20,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Freirina,Información redactada el día jueves 22 a las 04:48 hrs.,jueves 22,/24,,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,,despejado.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día jueves 22 a las 04:48 hrs.,viernes 23,10/22,Despejado variando a cubierto,Cubierto,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,cubierto.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día jueves 22 a las 04:48 hrs.,sábado 24,12/22,Cubierto,Cubierto variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,cubierto.png,cubierto.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día jueves 22 a las 04:48 hrs.,domingo 25,10/24,Despejado variando a nublado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcial.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día jueves 22 a las 04:48 hrs.,lunes 26,10/24,Despejado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcial.png,viento2540.png,despejadonoche.png
Vallenar,Información redactada el día jueves 22 a las 04:48 hrs.,jueves 22,/27,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día jueves 22 a las 04:48 hrs.,viernes 23,9/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día jueves 22 a las 04:48 hrs.,sábado 24,13/23,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día jueves 22 a las 04:48 hrs.,domingo 25,12/25,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día jueves 22 a las 04:48 hrs.,lunes 26,12/26,Despejado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día jueves 22 a las 05:51 hrs.,jueves 22,/21,,Nubosidad parcial variando a despejado,Despejado,Despejado variando a nubosidad parcial,,parcialalta.png,despejado.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día jueves 22 a las 05:51 hrs.,viernes 23,13/21,Nublado,Nublado variando a despejado,Despejado,Despejado,parcialnoche.png,parcial.png,despejado.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día jueves 22 a las 05:51 hrs.,sábado 24,11/20,Despejado,Nubosidad parcial,Despejado,Despejado variando a nublado,despejadonoche.png,parcialalta.png,despejado.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día jueves 22 a las 05:51 hrs.,domingo 25,11/20,Cubierto,Cubierto,Nubosidad parcial variando a despejado,Despejado variando a cubierto,cubierto.png,cubierto.png,parcialalta.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día jueves 22 a las 05:51 hrs.,lunes 26,11/19,Cubierto,Cubierto,Nubosidad parcial,Cubierto,cubierto.png,cubierto.png,parcialalta.png,cubierto.png
Vicuña,Información redactada el día jueves 22 a las 05:51 hrs.,jueves 22,/32,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Vicuña,Información redactada el día jueves 22 a las 05:51 hrs.,viernes 23,12/32,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Vicuña,Información redactada el día jueves 22 a las 05:51 hrs.,sábado 24,13/31,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Vicuña,Información redactada el día jueves 22 a las 05:51 hrs.,domingo 25,12/31,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Vicuña,Información redactada el día jueves 22 a las 05:51 hrs.,lunes 26,11/30,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Ovalle,Información redactada el día jueves 22 a las 05:51 hrs.,jueves 22,/30,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Ovalle,Información redactada el día jueves 22 a las 05:51 hrs.,viernes 23,12/28,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Ovalle,Información redactada el día jueves 22 a las 05:51 hrs.,sábado 24,13/29,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Ovalle,Información redactada el día jueves 22 a las 05:51 hrs.,domingo 25,12/28,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Ovalle,Información redactada el día jueves 22 a las 05:51 hrs.,lunes 26,11/26,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Combarbalá,Información redactada el día jueves 22 a las 05:51 hrs.,jueves 22,/32,,Despejado,Nubosidad parcial,Despejado,,despejado.png,parcialalta.png,despejadonoche.png
Combarbalá,Información redactada el día jueves 22 a las 05:51 hrs.,viernes 23,12/32,Despejado,Despejado,Nubosidad parcial,Despejado,despejadonoche.png,despejado.png,parcialalta.png,despejadonoche.png
Combarbalá,Información redactada el día jueves 22 a las 05:51 hrs.,sábado 24,13/31,Despejado,Despejado,Nubosidad parcial,Despejado,despejadonoche.png,despejado.png,parcialalta.png,despejadonoche.png
Combarbalá,Información redactada el día jueves 22 a las 05:51 hrs.,domingo 25,12/31,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Combarbalá,Información redactada el día jueves 22 a las 05:51 hrs.,lunes 26,11/30,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Illapel,Información redactada el día jueves 22 a las 05:51 hrs.,jueves 22,/30,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
Illapel,Información redactada el día jueves 22 a las 05:51 hrs.,viernes 23,10/28,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Illapel,Información redactada el día jueves 22 a las 05:51 hrs.,sábado 24,11/29,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Illapel,Información redactada el día jueves 22 a las 05:51 hrs.,domingo 25,12/28,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Illapel,Información redactada el día jueves 22 a las 05:51 hrs.,lunes 26,11/26,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Los Vilos,Información redactada el día jueves 22 a las 05:51 hrs.,jueves 22,/21,,Nubosidad parcial variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 25 y 40 km/h variando a nubosidad parcial,,parcialalta.png,viento2540.png,viento2540.png
Los Vilos,Información redactada el día jueves 22 a las 05:51 hrs.,viernes 23,13/21,Nublado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,parcialnoche.png,parcial.png,viento2540.png,despejadonoche.png
Los Vilos,Información redactada el día jueves 22 a las 05:51 hrs.,sábado 24,11/20,Despejado,Nubosidad parcial,Despejado,Despejado variando a nublado,despejadonoche.png,parcialalta.png,despejado.png,despejadonoche.png
Los Vilos,Información redactada el día jueves 22 a las 05:51 hrs.,domingo 25,11/20,Cubierto,Cubierto,Nubosidad parcial variando a despejado,Despejado variando a cubierto,cubierto.png,cubierto.png,parcialalta.png,despejadonoche.png
Los Vilos,Información redactada el día jueves 22 a las 05:51 hrs.,lunes 26,11/19,Cubierto,Cubierto,Nubosidad parcial,Cubierto,cubierto.png,cubierto.png,parcialalta.png,cubierto.png
La Ligua,Información redactada el día jueves 22 a las 05:53 hrs.,jueves 22,/31,,Despejado,Despejado,Despejado,,despejado.png,despejado.png,despejadonoche.png
La Ligua,Información redactada el día jueves 22 a las 05:53 hrs.,viernes 23,11/29,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
La Ligua,Información redactada el día jueves 22 a las 05:53 hrs.,sábado 24,11/31,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
La Ligua,Información redactada el día jueves 22 a las 05:53 hrs.,domingo 25,13/29,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
La Ligua,Información redactada el día jueves 22 a las 05:53 hrs.,lunes 26,12/27,Despejado variando a nubosidad parcial,Nublado variando a despejado,Nubosidad parcial,Nubosidad parcial,pocasnubesnoche.png,parcial.png,parcialalta.png,parcialaltanoche.png
Papudo/Zapallar,Información redactada el día jueves 22 a las 05:53 hrs.,jueves 22,/21,,Despejado,Nubosidad parcial variando a despejado con viento entre 25 y 40 km/h,Despejado con viento entre 25 y 40 km/h variando a nubosidad parcial,,despejado.png,viento2540.png,viento2540.png
Papudo/Zapallar,Información redactada el día jueves 22 a las 05:53 hrs.,viernes 23,13/20,Nubosidad parcial,Nubosidad parcial variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 25 y 40 km/h,parcialaltanoche.png,parcialalta.png,viento2540.png,viento2540.png
Papudo/Zapallar,Información redactada el día jueves 22 a las 05:53 hrs.,sábado 24,12/19,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Papudo/Zapallar,Información redactada el día jueves 22 a las 05:53 hrs.,domingo 25,12/18,Despejado variando a nubosidad parcial,Nublado variando a despejado,Despejado variando a nubosidad parcial,Nubosidad parcial variando a cubierto,pocasnubesnoche.png,parcial.png,pocasnubes.png,parcialaltanoche.png
